OTU,standard_length,predorsal_length,preanal_length,prepelvic_length,head_length,body_depth_at_dorsal,body_depth_at_anus,caudal_peduncle_depth,caudal_peduncle_length,dorsal_fin_base_length,anal_fin_base_length,pelvic_fin_length,pectoral_fin_length,upper_caudal_lobe_length,median_caudal_length,lower_caudal_lobe_length,head_depth,head_width,snout_length,orbital_diameter,interorbital_width,predorsal_scales,circumpeduncular_scales,dorsal_fin_origin_lat,anal_fin_origin_lat,pelvic_fin_origin_lat,scale_rows_between_lateral_and_pelvic,number of body marks,body-mark shape 
lupar,160.1,88.4,120.2,84.8,53,42.6,29.7,19,31.4,24,13.1,26.9,31,52,19.2,48.9,29.1,22.9,18.4,10,12.9,10,13,8,16,7.5,3,3,bars
lupar,147.2,78.5,107.1,75.1,46.1,38.4,27.4,17.4,30.3,22.1,14.2,25.7,29.3,46.5,19,43.6,27,19.4,15.9,9.9,12.3,11,13,8,14.5,7.5,3,3,bars
katibas,140.8,75.2,109.9,77.2,46.1,39.5,27.5,17.9,24.1,23.7,12.9,25.3,29,44.6,19.5,45,26.5,20.1,15.4,9.8,11.9,10,13,8,15,7.5,2,2,blotch
katibas,118,65.2,90.2,62.8,39,35.8,24.6,15.1,20.4,19.7,11.2,22.1,24.9,37.9,16.7,41.5,22.6,19.8,13.3,9,10,9,13,8,15,7.5,2,2,blotch
katibas,116.4,62.8,87.3,59.5,37.7,32.9,22.8,15,22,18.1,12,22,23.3,38.3,16.3,38.3,22.1,17.8,12.5,8.9,9.8,9,13,8,15,7.5,2,2,blotch
katibas,114.6,63.2,87.5,60,38.9,36.7,23.7,14.6,20.8,18.3,11.3,21,21.8,38.7,16.5,37.3,22.2,19,12.8,9,10,9,13,8,16,7.5,2,2,blotch
katibas,119.7,63.9,92.1,64.5,38.8,33.5,23.7,15.4,22.6,18.3,11.2,21.8,24.9,41.4,17.4,38.1,23.6,20,13.2,8.4,9.5,9,13,8,15,7.5,2.5,2,blotch
katibas,110.3,61,83.6,58.3,36.4,30.9,23.2,13.9,19.4,17.3,11.8,21.3,23.2,38.3,16.4,36.6,21.3,18.3,11.8,8.7,9.2,9,13,8,15,7.5,2.5,2,blotch
katibas,275.4,147.8,218.7,153.9,94.5,92.2,59.6,34.3,41.2,43.3,25.6,43.2,47.9,77.3,31.4,71.4,54,46.9,33.6,13,24.3,10,13,8,17,8,2.5,2,blotch
katibas,232.5,127.5,184,128.4,79.7,76.7,49.4,30.5,38.8,34.7,22.1,39.5,50,71,32.6,68,42.8,33.4,24.2,12.6,18.9,10,13,8,16,7.5,3,2,blotch
katibas,172.6,96.6,129.8,96.5,66,45.3,29.6,20.6,29.5,27,17.7,26.7,31.2,53.4,20.5,49.3,33,25.8,22,10.4,14.4,9,12,8,15,8,3,2,blotch
katibas,129.7,71.4,99.4,68,42.8,35.9,25.4,16.6,24,19.4,14.4,25,26.6,45.3,17.7,43.7,23.4,16.3,13.9,8.5,10.6,10,12,8,15.5,7.5,3,2,blotch
katibas,116.1,62.2,86.4,60.1,38.8,30.7,21.8,14.1,22.8,20,12.5,21,23.4,38.5,15.7,38.6,21.5,18,12.5,8,9.5,10,12,8,15,8,3,2,blotch
katibas,128.8,68.7,97.8,68.3,45.4,32.3,23.4,14.7,24.7,20.2,12.2,21.9,24,41.6,17.8,38.9,23.8,17.6,15,8.7,10.7,9,12,8,15.5,7,3,2,blotch
katibas,119.2,66.3,89.9,61.3,39.8,31.4,22.9,14.3,22.3,18.4,12,21.5,22.9,40.1,16.9,39.6,23.1,17.3,13.7,8.7,10.2,10,12,8,16,8,3,2,blotch
katibas,126.5,68.1,93.6,66.3,43.8,33.5,23.9,15.1,24.6,17.3,12,23.4,25.4,42.4,16.5,40,24.4,18.6,14.5,8.7,10,9,12,8,15,8,3,2,blotch
katibas,83.7,46.3,62.1,42.9,28.6,23.5,17.7,11.2,16.7,13.9,9.4,15.9,17.8,31,11.3,30.6,16.6,12.1,9.3,7.3,7.2,10,12,8,15,8,3,2,blotch
siamensis,226.2,126.2,168.6,119.9,79.2,64.4,46,27,42.2,33.5,31,36.8,44.3,72.5,26,69.7,44.6,33.4,25.5,12,21.2,10,12,8,15,7,2.5,1,bars
siamensis,191.1,105.1,144.5,100.1,63.6,58.6,40,22.9,31.5,29.9,20.2,34.6,39.9,67.4,23.5,64.2,37.5,25.2,20.5,11.4,18.4,10,12,8,15,7,2.5,1,bars
siamensis,120.1,68.3,87.4,60.6,39.9,34.8,24.8,14.3,21.1,19.1,10.3,20,20.3,41.4,10.4,39.4,24.9,15.9,13.5,8.4,11,10,12,8,15,8,2.5,1,bars
siamensis,93.5,51,71.3,50.2,30.2,30.3,19.6,12.4,17.8,14.8,8.3,16.5,18.3,30.3,12.4,27.5,18.4,13.2,9.7,7.5,9.1,9,10,8,14,8,2.5,1,bars
