Lab,Clade,SVL,AG,ArmL,FingerL,LegL,ToeL,TailLength,Lamel4thF,Lamel4thT,Pores,CPE,CPPatt,TM,BGCol,PVL,PVSpots,FPVis,PoreArr,BIO_1,BIO_2,BIO_3,BIO_4,BIO_5,BIO_6,BIO_7,BIO_8,BIO_9,BIO_10,BIO_11,BIO_12,BIO_13,BIO_14,BIO_15,BIO_16,BIO_17,BIO_18,BIO_19,RESAMPELEV,mNDVI,sdNDVI,TREE,mLAI,sdLAI,Aclay,Athick,AKs,A_AWHC
CFO152,C_tjakalpa,41.09,16.96,17.77,4.49,44.36,11.51,100,20,34,12,arms,diamond,mottled,red-orange,indistinct,black,yes,mid leg,215,158,50,5296,366,54,312,276,155,276,143,175,22,8,25,57,30,57,34,264,2182.098876,206.945556,1.272727,2.483417,0.492019,5,0.2,9,145
CFO155,C_tjakalpa,47.5,20.21,18.66,4.16,47.05,10.7,117,17,32,14.5,arms,diamond,unclear chevron,red-orange,indistinct,bw,weak,knee,195,132,50,4560,326,67,259,134,250,250,134,269,47,8,47,113,34,34,113,103,2883.592773,429.767181,5.181818,3.338709,0.641825,5,0.3,9,145
CFO171,C_tjakalpa,43.83,18.33,18.63,5.11,50.77,12.58,105,20,34,13.5,arms,diamond,unclear chevron,red-orange,indistinct,bw,weak,knee,210,147,50,5198,355,62,293,151,264,273,140,188,24,9,28,63,33,39,57,97,2033.442626,202.29187,0.454545,2.318898,0.427954,30,0.3,8,129
CFO200,C_tjakalpa,36.19,15.82,16.91,2.92,42.3,11.32,98,16,32,16,arms,block,absent,red-orange,indistinct,bw,weak,mid leg,219,154,48,5516,372,56,316,283,157,283,144,173,23,8,27,53,29,53,35,296,2187.770751,177.969207,1.272727,2.552734,0.484684,5,0.2,9,145
CFO71,C_tjakalpa,52.94,24.04,20.62,4.83,50.95,11.97,120,18,32,17,arms,diamond,unclear chevron,red-orange,indistinct,bw,weak,knee,193,127,51,4243,315,70,245,136,244,244,136,295,51,8,49,126,36,36,126,62,3085.80249,1376.35083,1.90909,4.303555,2.08725,30,0.3,8,129
CFO118,C_spinodomus,42.23,17.85,18.59,4.68,40.97,10.33,96,16,24,18.5,chest,spotted,mottled,brown-black,clear,bw,yes,knee,178,131,50,4584,322,62,260,127,223,236,119,294,37,12,27,95,52,54,85,98,4098.581054,634.327148,16.454545,5.541639,0.934988,30,0.3,8,129
CFO119,C_spinodomus,38.49,15.48,17.05,4.25,41.4,10.06,92,18,30,17,chest,mottled irregular,mottled,brown-black,clear,black,yes,knee,178,131,50,4584,322,62,260,127,223,236,119,294,37,12,27,95,52,54,85,98,4098.581054,634.327148,16.454545,5.541639,0.934988,30,0.3,8,129
CFO128,C_spinodomus,45.29,17.79,18.58,4.43,42.13,10.52,90,18,28,18.5,chest,mottled irregular,mottled,brown-black,clear,black,yes,knee,187,138,48,5046,342,59,283,130,239,252,122,255,28,15,17,71,55,58,62,82,3484.94458,482.947143,8.545454,4.670373,0.82378,30,0.3,8,129
CFO141,C_spinodomus,43.67,16.36,19.89,4.3,44.26,9.63,100,19,29,19,chest,mottled irregular,mottled,brown-black,indistinct,black,yes,mid leg,185,138,49,4904,338,59,279,130,248,248,122,273,31,14,21,83,54,54,75,60,3031.098876,472.420989,6.272727,4.976268,0.893679,20,0.25,8,138
CFO147,C_spinodomus,40.36,14.73,18.54,3.91,38.89,9,89,18,29,19,chest,mottled T,mottled,brown-black,clear,black,yes,knee,191,138,48,5121,347,60,287,191,243,256,125,241,27,14,18,66,51,57,55,58,3222.719482,461.282562,7.545454,4.460733,0.750773,30,0.3,8,129
